Kode Astra,Nama Barang,Harga Beli,Harga Jual
06775MCA960ZA,"KIT,AIRBAG MODULE",0.00,0.00
06775MCAJ60ZB,"KIT,AIRBAG MODULE",0.00,0.00
06890KWN305,INSPECTION KIT,0.00,157000.00
06910MCA000,BRG SET NEEDLE LBL,207400.00,244000.00
06945MKK305,"KIT,CIRCLIP",107100.00,126000.00
07000T400000,TORX T40,38335.00,45100.00
07000T450000,TORX T45,52190.00,61400.00
0702S002000IN,O2 SENSOR WRENCH,0.00,303000.00
070AATBA0100,"WRENCH, FUEL SENDER",2314550.00,2723000.00
070MAK640100,FORK BOLT WRENCH 41,0.00,1767000.00
070MAK640100IN,FORK BOLT WRENCH 41,0.00,0.00
070MAMGE0101,LOCK NUT WRENCH 42/56 MM,2604400.00,3064000.00
070MAMGE0201,SOCKET WRENCH 43 MM,1013200.00,1192000.00
070MAMGP0100,FORK CAP WRENCH,0.00,413000.00
070MAMKC0100,LOCK NUT STR. STEM WRENCH,2455650.00,2889000.00
070MAMKS0100,FORK BOLT WRENCH,0.00,0.00
070MAMKS0200,PIN TYPE WRENCH,0.00,0.00
070MBK1B0100IN,UNIVERSAL HOLDER,593300.00,698000.00
070MBMCS0100,SHAFT HOLDER,1675350.00,1971000.00
070MBMEL0100,ROTOR HOLDER,873800.00,1028000.00
070MBMELC100,FLYWHEEL HOLDER,878050.00,1033000.00
070MBMFL0100,CLUTCH HOLDER,0.00,852000.00
070MBMGP0100,ROD GUIDE CASE WRENCH,0.00,938000.00
070MBMJC0100,ROD GUIDE CASE WRENCH,1191700.00,1402000.00
070MBMJT0100,ECC. SHAFT HLDR P.D. 25.5,0.00,0.00
070MB-MJT0200,HOLDER CLUTCH CTR P.D.70,0.00,0.00
070MBMJT0300,COLLAR PLUNGER,0.00,0.00
070MBMJT0400,HOLDER FLYWHEEL 36MM,0.00,0.00
070MBMKC0100,SHAFT HOLDER 31.5?17?1.75,1533400.00,1804000.00
070MBMKS0100,ROD GUIDE WRENCH,0.00,0.00
070MCMFR0100,"BEARING REMOVER SET, 22 MM",1447550.00,1703000.00
070MCMGE0101,PINION SHAFT ATTACHMENT,748850.00,881000.00
070MDK200100,"OIL SEAL DRIVER, 31 MM",901850.00,1061000.00
070MDMKC0100,DRIVER ATTACHMENT BRG 72MM,498100.00,586000.00
070MEK1B0100IN,CLUTCH SPRING COMPRESSOR,1260550.00,1483000.00
070MEMCW0100,VALVE SPRING COMP. ATTCH,810050.00,953000.00
070MEMJT0100,COMPRESSOR ONE WAY CLUTCH,0.00,0.00
070MFKTWR100,METAL INSTALLER SET,5947450.00,6997000.00
070MFKYJ0100,METAL INSTALLER SET,0.00,2253000.00
070MFMBZC110,FORK SPRING COLLAR HOLDER,0.00,1003000.00
070MFMBZC110IN,SPRING COLLAR HOLDER,0.00,0.00
070MFMBZC120,DAMPER ROD HOLDER,0.00,848000.00
070MFMBZC130,STOPPER PLATE,0.00,791000.00
070MFMBZC130IN,STOPPER PLATE,0.00,0.00
070MFMCJ0100,BALL RACE INSTALLER 47 MM,1252050.00,1473000.00
070MFMCJ0200,BALL RACE INSTALLER 55 MM,427550.00,503000.00
070MFMEC0400,"BASE, 101x109x65 MM",567800.00,668000.00
070MFMEN0100,INSTALLER BEARING,0.00,0.00
070MFMEN0100IN,INSTALLER BEARING,108800.00,128000.00
070MFMKC0100,RACE REMOVER ATT 69 MM,939250.00,1105000.00
070MFMKC0200,RACE REMOVER ATT 95 MM,674050.00,793000.00
070MFMKC0300,BASE ATTACHMENT 72?100,1044650.00,1229000.00
070MG0010100,TENSIONER LIFTER STOPPER,0.00,2460000.00
070MG0010100IN,TENSIONER LIFTER STOPPER,304300.00,358000.00
070MGMKC0100,PISTON BASE SET,3694100.00,4346000.00
070MGMKC0200,ADJUST BOLT SHAFT,674050.00,793000.00
070MHMJT0100,CUTTER INTERIOR 28MM,0.00,0.00
070MH-MJT0200,CUTTER INTERIOR 32MM,0.00,0.00
070MHMKR0100,INT CUTTER 32MM (52.5 DEGREE IN),0.00,0.00
070MJ0010101,"ATT,OIL PRESSURE GAUGE",0.00,3496000.00
070MJ-K260100,PRESSURE GAUGE ATTACH. SET,0.00,0.00
070MJKPHT200,"GAUGE ATT, FUEL PRESS.",0.00,733000.00
070MJ-MJT0100,INS. TOOL VALVE TIMING RR,0.00,0.00
070MJ-MJT0200,INS. TOOL VALVE TIMING RR,0.00,0.00
070MJMKC0100,STEERING BRIDGE LOCK PIN,326400.00,384000.00
070MKK400100,COOLING SYSTEM TESTER ADP.,4592550.00,5403000.00
070MK-MJT0100,PLATE SET ENG HANGER,0.00,0.00
070MZ0010300,SCS CONNECTOR 6P,225250.00,265000.00
070MZ0010300IN,SCS CONNECTOR 6P,51000.00,60000.00
070MZK530100,OBD ADAPTER HARNESS,0.00,0.00
070MZMEC0101,ADP.TEST HARNESS,180200.00,212000.00
070MZMGE0100,TEST HARNESS ADAPTOR,0.00,114000.00
070MZMKC0100,SRS. SIMULATOR LEAD. MC,0.00,0.00
070MZMKC0200,TPMS. TRIGGER TOOL,7978100.00,9386000.00
070PDZX20100,"DRIVER ATTACHMENT, 100 MM",1042100.00,1226000.00
070PH-Z0D0100,INTERIOR CUTTER 24MM(60?IN/EX),0.00,0.00
070PZZY30100,DLC SHORT CONNECTOR,0.00,146000.00
070PZZY3010L,SCS CONNECTOR,0.00,23000.00
072240050002IN,Clucth Center Holder,0.00,0.00
072250030000IN,Universal Holder,0.00,0.00
072KLFFBWSL,FORK BOLT WRENCH SET L,0.00,0.00
07300CBRRED,PADDOCK CBR150/250 RED,388450.00,457000.00
07300K64A00,NEW REAR PADDOCK CBR150/250,474300.00,558000.00
07303-0000001,SPARK PLUG FEELER GAUGE,0.00,0.00
07303-0000002,PLASTIC GAUGE,0.00,0.00
073030030001,THICK-TAPE 0.03MM,0.00,224000.00
073030050001,"THICK-TAPE,0.05MM",0.00,429000.00
073030060001,"THICK-TAPE,0.06MM",0.00,245000.00
073030100001,"THICK-TAPE,0.1MM",0.00,164000.00
073030150001,"THICK-TAPE, 0.15MM",0.00,172000.00
073030250001,"THICK-TAPE, 0.25MM",0.00,243000.00
07303102010,SABER 70,0.00,0.00
07303SIW01SD,SABER STANDING DISPENSER,0.00,0.00
07308000LIB,LIB DRUM SET,0.00,0.00
07308-00BTJ85,BATTERY TESTER,0.00,0.00
073080MB2020,BATTERY CHARGER MF,0.00,1253000.00
07308MB2040N,BATTERY CHARGER MB 2040,0.00,2503000.00
07340-0007010,TAPPER GAUGES,0.00,0.00
073400010000,VERNIER CALIPER,0.00,506000.00
07340001000D,DIGITAL VERNIER CALIPER,0.00,1883000.00
07340-0182111,STEEL RULES 150 MM,0.00,0.00
07340-0182131,STEEL RULES 300 MM,0.00,0.00
07341001000N,OUTSIDE MICROMTR 0-25,0.00,669000.00
07341002000N,OUTSIDE MICROMTR 25-50,0.00,843000.00
07341003000N,OUTSIDE MICROMETER 50-75,0.00,2433000.00
07341D293230,OUTSIDE DIGITAL MICROMETER 0-25MM,0.00,1922000.00
07341D293231,OUTSIDE DIGITAL MICROMETER 25-50MM,0.00,2206000.00
07342000T362,TORQUE ANGLE 1/2SQ,0.00,578000.00
07342001000N,DIAL INDICATORS/0.001,0.00,1340000.00
07342004000N,INSIDE MICROMETER 5-30,0.00,5831000.00
07342005000N,DIAL TEST INDICATORS/0.001,0.00,881000.00
07342006000N,TORQUE WRENCH DB25N-S,0.00,1963000.00
07342007000N,TORQUE WRENCH DB200N-S,0.00,2313000.00
07342-008000N,DIGITAL MULTIMETER,0.00,0.00
0734200CL25N,INT CHANGEABLE TORQ 5-25NM,1533400.00,1804000.00
0734200KE303,RADIATOR CAP TESTER,4082550.00,4803000.00
0734200QL025N,TORQUE WRENCH RACHET 5-25NM,0.00,1325000.00
0734200QL040N,TORQUE WRH. RACHET 5-40NM,0.00,1953000.00
0734200QL100N,TORQUE WRENCH RACHET 20-100NM,0.00,1928000.00
0734200QL200N,TORQUE WRENCH RACHET 40-200 NM,0.00,2418000.00
07342-00RT100,RADIATOR CAP TESTER,0.00,0.00
