Kode Jasa,Nama Jasa,Kode Group,Kode Sub Group,Estimasi Waktu,Tipe Waktu,Harga Jual
BTPNAT024,BTPN MATIC BELT DRIVE KIT,LR,,30,MENIT,68000.00
BTPNAT025,BTPN MATIC MINYAK REM,LR,,15,MENIT,14000.00
BTPNAT026,BTPN MATIC GANTI BATTERE AKI,LR,,15,MENIT,14000.00
BTPNAT027,BTPN MATIC GANTI BAN DEPAN,LR,,20,MENIT,47000.00
BTPNAT028,BTPN MATIC GANTI BAN BELAKANG,LR,,20,MENIT,47000.00
BTPNAT029,BTPN MATIC SARINGAN FUEL PUMP,LR,,20,MENIT,47000.00
BTPNAT030,BTPN MATIC HARGA SERVICE INJECTOR CLEANER,LR,,15,MENIT,36000.00
BTPNMT001,BTPN CUB OLI MESIN SPX08L,LR,,15,MENIT,5000.00
BTPNMT002,BTPN CUB BUSI,LR,,15,MENIT,6000.00
BTPNMT003,BTPN CUB GANTI GEAR SET,LR,,31,MENIT,47000.00
BTPNMT004,BTPN CUB ENGINE FLUSH,LR,,15,MENIT,0.00
BTPNMT005,BTPN CUB GANTI KANVAS REM DPN,LR,,20,MENIT,26000.00
BTPNMT006,BTPN CUB GANTI KANVAS REM BLK CAKRAM,LR,,20,MENIT,29000.00
BTPNMT007,BTPN CUB GANTI KANVAS REM BLK TROMOL,LR,,20,MENIT,29000.00
BTPNMT008,BTPN CUB SARINGAN UDARA,LR,,15,MENIT,13000.00
BTPNMT009,BTPN CUB MINYAK REM,LR,,15,MENIT,8000.00
BTPNMT010,BTPN CUB RANTAI MESIN,LR,,30,MENIT,59000.00
BTPNMT011,BTPN CUB GANTI BATTERE AKI,LR,,15,MENIT,10000.00
BTPNMT012,BTPN CUB GANTI BAN DEPAN,LR,,20,MENIT,32000.00
BTPNMT013,BTPN CUB GANTI BAN BELAKANG,LR,,20,MENIT,35000.00
BTPNMT014,BTPN CUB SARINGAN FUEL PUMP,LR,,20,MENIT,47000.00
BTPNMT015,BTPN CUB HARGA SERVICE INJECTOR CLEANER,LR,,15,MENIT,36000.00
bubut block,bubut block,LR,JSV,1,JAM,87000.00
BUBUT3SOKBAUTKNALPOT,BUBUT 3 SOK BAUT KNALPOT,HR,,2,HARI,105000.00
BUBUT4SOKBAUT,BUBUT 4 SOK BAUT,HR,,2,HARI,130000.00
